vehicle_id,vehicle_localmips,total_tasks,total_task_mips,tasks_completed_local,local_failed,tasks_from_others,other_task_mips,others_completed,others_failed,total_execution_time,total_computation_time,simulation_time,trust_factor,z_score,other_total_comp_time
430,2515.349634,547,406808.8232,214,0,333,248848.8543,303,30,161.7305275,153.4117123,6000,8229.448267,1.095957883,90.61329783
433,2786.052723,871,656614.7225,397,0,474,359371.2628,462,12,235.6792163,232.463021,6000,12255.70069,0.269900986,125.7732023
436,1316.070889,309,231651.4733,89,0,220,166163.8535,129,91,176.0174739,125.5803999,6000,2538.33773,3.916485113,75.82045125
439,2730.785342,851,632266.7242,239,0,612,454807.4288,610,2,231.5329274,230.9147822,6000,16531.19264,0.273319209,165.9300715
442,2091.661296,494,374057.9265,146,0,348,264751.5791,335,13,178.832934,174.0333937,6000,11697.57045,1.300884831,121.7752448
445,3172.432337,598,448747.6592,176,0,422,315196.6716,422,0,141.4522397,141.4522397,6000,9935.489182,0.250973104,99.35489182
448,2240.581578,755,558792.2729,346,0,409,301436.333,409,0,249.3960846,249.3960846,6000,13453.48618,0.324778362,134.5348618
451,2039.752172,479,359174.0347,103,0,376,282390.8242,360,16,176.0870951,170.1644307,6000,12659.83646,0.85626939,132.521029
454,2377.848704,884,662581.0926,386,0,498,370781.3553,498,0,278.647288,278.647288,6000,15593.14327,0.294310076,155.9314327
457,2081.786855,590,443357.3755,196,0,394,296089.7016,384,10,212.9696297,209.6922181,6000,13567.38114,0.65256074,138.9512229
460,1472.606998,349,262903.7948,60,0,289,217238.947,241,48,178.5295026,152.8540966,6000,9616.916279,2.688933259,121.8445687
463,3421.704075,528,402532.531,186,0,342,262490.2291,342,0,117.6409538,117.6409538,6000,7671.330522,0.241777578,76.71330522
466,1022.251286,316,235212.4323,173,0,143,107425.8794,71,72,230.0925767,176.3766672,6000,-234.4272492,7.11820933,51.37163695
469,2892.14821,592,441400.1838,207,0,385,283618.7453,385,0,152.6201812,152.6201812,6000,9806.507989,0.25672847,98.06507989
472,3120.035941,559,417587.8616,152,0,407,305787.1267,406,1,133.8407216,133.6492277,6000,9762.457769,0.260151053,97.81607158
475,1325.065897,419,308376.2606,125,0,294,217109.2156,211,83,232.7252262,187.4583172,6000,7331.404503,3.096411211,118.580954
478,1574.33167,352,263723.9973,165,0,187,142202.3182,157,30,167.5148906,152.2517918,6000,5979.931718,2.894768989,75.06241589
481,2998.777992,719,537340.4302,185,0,534,398864.6544,534,0,179.1864658,179.1864658,6000,13300.90642,0.235451488,133.0090642
484,3114.792482,960,719475.0306,144,0,816,612207.9133,784,32,230.9865054,223.4734412,6000,18152.24111,0.374029493,189.0354753
487,1768.792989,570,424446.1005,127,0,443,327262.2346,402,41,239.9636945,222.6649059,6000,15042.25107,1.331214339,167.7212994
